table_id,feature_id,name,lat,long
692,238,Azimpur,22.39264272,91.38590897
693,4793,Urirchar,22.67276784,91.36824572
694,3860,Pukuria,22.14450316,91.93133965
695,4153,Sadhanpur,22.11293585,91.93718596
696,2703,Khankhanabad,22.10681987,91.87825978
697,311,Baharchhara,22.07064072,91.89400451
698,2481,Kalipur,22.07412604,91.94001273
699,325,Bailchhari,22.04523179,91.95460509
700,2621,Katharia,22.0425935,91.90936101
701,4266,Saral,22.01868066,91.90098092
703,951,Chambal,21.96145125,91.97850306
704,1769,Gandamara,21.9690506,91.90457329
705,4329,Sekherkhil,21.9319771,91.94260198
706,3857,Puichhari,21.91834067,91.98836879
707,1174,Chhanua,21.90455722,91.92189755
708,2540,Kandhurkhil,22.39713779,91.92286749
710,3887,Purba Gomdandi,22.37746323,91.92082369
711,4214,Sakpura,22.3507399,91.91119654
712,4290,Saroatali,22.36213496,91.94956093
713,3842,Popadia,22.38988133,91.94676666
719,554,Barasat,22.20047579,91.83290912
721,614,Battali,22.19126805,91.85543767
725,1147,Chatari,22.23866394,91.88879381
726,3668,Paraikora,22.2387509,91.93585938
727,1998,Haildhar,22.20451822,91.93646494
728,2346,Juidandi,22.14112415,91.87293772
729,2531,Kanchanabad,22.23426588,92.07655185
730,2310,Joara,22.22237163,92.00886992
731,570,Barkal,22.20784737,91.97179502
732,550,Barama,22.18026028,91.9858323
733,326,Bailtali,22.15407288,92.00559595
734,4298,Satbaria,22.17955409,92.02556797
735,2075,Hashimpur,22.1953868,92.06378071
736,1586,Dohazari,22.17252135,92.0862536
737,1522,Dhopachhari,22.24380962,92.12235403
738,1134,Charati,22.14863584,91.96981098
739,2677,Khagaria,22.15108051,92.0405609
740,3379,Nalua,22.12533066,92.03451029
741,2530,Kanchana,22.10710448,92.00528478
744,2969,Madarsa,22.06147632,92.00849552
745,1517,Dhemsa,22.10548938,92.05938143
746,3699,Paschim Dhemsa,22.09966389,92.04062911
747,2658,Keochia,22.11792129,92.08431581
748,2459,Kaliais,22.14748116,92.07575631
749,630,Bazalia,22.11944902,92.14251148
750,3868,Puranagar,22.15534649,92.127751
751,4147,Sadaha,22.08642139,92.11791257
752,4304,Satkania,22.05243149,92.08534693
753,4516,Sonakania,22.04314574,92.03417372
754,3572,Padua,22.05326123,92.13397773
755,530,Barahatia,22.00503123,92.03831211
756,118,Amirabad,22.03533374,92.10003509
757,1132,Charamba,22.01311874,92.16811743
758,2453,Kalauzan,21.9849255,92.14627852
759,2944,Lohagara,21.99982376,92.10105248
760,3915,Putibila,21.95925186,92.15764429
761,1237,Chunati,21.94220019,92.09294963
762,22,Adhunagar,21.95543149,92.03801255
764,1451,Dhalai,22.59291508,91.79634548
769,3182,Mekhal,22.50183759,91.8362189
770,1790,Garduara,22.4947231,91.86326282
777,2082,Hathazari,22.50907556,91.79589123
778,1511,Dharmapur,22.60709792,91.87531679
779,267,Baganbazar,22.94825994,91.70162814
780,1342,Dantmara,22.86199556,91.70310773
781,3411,Narayanhat,22.79226068,91.70370253
782,796,Bhujpur,22.76867773,91.74030727
787,4564,Suabil,22.6500648,91.73269541
788,3,Abdullapur,22.57037782,91.86905321
789,4236,Samitirhat,22.59400486,91.83315576
793,3396,Nanupur,22.63812264,91.86071879
794,2937,Lelang,22.67698236,91.85222588
795,1385,Daulatpur,22.64304562,91.80259383
796,4056,Raozan,22.52979329,91.94976645
797,294,Bagoan,22.43869246,91.93262829
798,821,Binajuri,22.51033974,91.89842021
799,1203,Chikdair,22.54372849,91.88002177
800,1246,Dabua,22.56683426,91.91735946
806,3513,Noapara,22.43267607,91.90596364
807,3582,Pahartali,22.45671878,91.96233855
808,4794,Urkirchar,22.44074987,91.87639026
815,2162,Islamabad,21.57074655,92.0651763
816,2165,Islampur,21.59197349,92.04867524
817,3839,Pokkhali,21.57120963,92.01634744
819,2220,Jalalabad,21.55004023,92.04070507
825,2420,Kakhara,21.77549836,92.10680791
826,2393,Kaiar Bil,21.79554291,92.05268144
827,2783,Konakhali,21.78548987,91.97545833
828,2756,Khuntakhali,21.62219425,92.07511719
829,1217,Chiringa,21.6968895,92.03862419
830,1417,Demusia,21.76233609,91.96769021
831,1600,Dulahazara,21.68623101,92.08381943
832,3693,Paschim Bara Bheola,21.74684248,91.9952406
833,255,Badarkhali,21.7199327,91.96366181
834,418,Bamobil Chari,21.81148047,92.19007584
835,541,Baraitali,21.82079905,92.05204722
836,770,Bheola Manik Char,21.78577865,92.01109316
837,4184,Saharbil,21.70484896,92.00684993
838,4614,Surajpur Manikpur,21.75396419,92.13927081
839,2040,Harbang,21.87546092,92.03825171
841,73,Ali Akbar Deil,21.76240448,91.84550311
842,4815,Uttar Dhurung,21.90006644,91.8717334
843,2411,Kaiyarbil,21.84404289,91.8557741
846,2938,Lemsikhali,21.86526694,91.88652822
847,3947,Rajapalong,21.24823015,92.14599761
848,2228,Jaliapalong,21.10277291,92.11422209
850,4081,Ratnapalong,21.2822849,92.14563815
851,3624,Palongkhali,21.20307352,92.08770826
856,2112,Hoanak,21.52986574,91.87467298
857,2446,Kalarmarchhara,21.68121818,91.91302769
858,3138,Matarbari,21.72831703,91.89429564
859,1455,Dhalghata,21.68348556,91.86521694
860,4777,Ujantia,21.76075353,91.925796
861,4640,Taitong,21.8731029,91.97808471
862,3808,Pekua,21.81500461,91.97311402
863,479,Barabakia,21.8404633,91.99446568
864,2998,Magnama,21.80866947,91.92016621
865,3953,Rajakhali,21.85845938,91.93801189
866,4421,Shilkhali,21.83158243,92.01254513
868,3966,Rajarkul,21.40200435,92.10267028
869,4061,Rashidnagar,21.50745955,92.07851255
870,2755,Khuniapalong,21.34166283,92.07597489
872,936,Chakmarkul,21.42254449,92.08458129
881,5148,Whykong,21.09921129,92.16758349
885,1912,Golabari,23.10069786,92.03345987
888,3186,Merung,23.1344612,92.10245648
889,870,Boalkhali,23.22745079,92.03391727
890,2354,Kabakhali,23.22790573,92.10206309
891,1564,Dighinala,23.28790867,92.07869171
893,2943,Logang,23.33685817,91.85932534
896,2924,Latiban,23.24355624,91.93366866
906,612,Batnatali,22.87475684,91.80322414
908,4735,Tintahari,22.80857627,91.85719582
909,3997,Ramgarh,22.98711963,91.75651659
917,3154,Matiranga,23.06159686,91.85854593
919,140,Amtali,23.11282032,91.89054782
920,3968,Rajbila,22.30488133,92.22585084
924,2801,Kuhalong,22.25918515,92.18264754
929,335,Baishari,21.5990063,92.22701993
936,1752,Gajalia,21.85895259,92.20835123
941,4263,Sarai,21.93162724,92.22019474
942,240,Aziznagar,21.90488247,92.10237735
950,397,Balipara,21.87277691,92.38571145
951,3964,Rajapur,24.34601939,89.71869609
952,488,Baradhul,24.28636295,89.75045893
956,719,Bhangabari,24.30660899,89.67251424
958,1847,Gharjan,24.14339229,89.75815384
959,2717,Khaskaulia,24.12266252,89.79144116
960,2718,Khaspukuria,24.09194485,89.78303533
961,3555,Omarpur,24.05252184,89.73168442
962,4157,Sadia Chandpur,24.24220458,89.74817656
963,4563,Sthal,24.19218033,89.75445772
964,697,Bhadraghat,24.40965082,89.61131621
965,2251,Jamtail,24.3662469,89.65396988
966,2288,Jhawail,24.39875971,89.65808966
967,4102,Roydaulatpur,24.33307531,89.65121395
969,1068,Chargirish,24.70207348,89.7592473
970,1768,Gandail,24.61713616,89.62904978
972,2719,Khasrajbari,24.73973135,89.69241737
973,3044,Maijbari,24.69462884,89.64586519
975,3448,Natuarpara,24.68505913,89.69412199
976,3504,Nishchintapur,24.64402277,89.75892915
977,4520,Sonamukhi,24.6731657,89.57566631
979,4690,Tekani,24.60602148,89.73453767
981,960,Chandaikona,24.52682163,89.49911988
982,1464,Dhamainagar,24.52783799,89.43618384
984,1529,Dhubil,24.44269417,89.47374434
985,1874,Ghurka,24.46512939,89.51350691
986,3373,Nalka,24.44614124,89.56682377
987,3655,Pangashi,24.47571069,89.58982998
988,4518,Sonakhara,24.48211516,89.46836314
989,657,Beltail,24.20627047,89.63730008
990,2225,Jalalpur,24.19005056,89.70699602
995,1757,Gala,24.09479206,89.66936275
998,2752,Khukni,24.21729216,89.6811322
1003,4078,Ratankandi,24.57463533,89.63064334
1012,586,Baruhas,24.46830474,89.32600977
1013,4644,Talam,24.52405428,89.35043631
1015,3005,Magura Binod,24.38061703,89.34654409
1016,3400,Naogaon,24.36842196,89.39687682
1018,2977,Madhainagar,24.44939592,89.40334886
1019,1430,Deshigram,24.49933289,89.39815204
1022,441,Bangala,24.35170286,89.45951118
1023,4772,Udhunia,24.30427567,89.43708822
1025,1621,Durga Nagar,24.26828074,89.54926741
1027,4219,Salanga,24.38952726,89.50353034
1028,2089,Hatikumrul,24.40585151,89.55223396
1035,3098,Manikhat,23.89504683,89.49070903
1036,1601,Dulai,23.94011655,89.49715638
1038,4054,Raninagar,23.90320569,89.56302223
1039,4300,Satbaria,23.88491639,89.44339749
1040,2093,Hatkhali,23.87372148,89.53443821
1041,3463,Nazirganj,23.8403713,89.51722321
1043,4262,Sara,24.1332661,89.02680732
1044,3604,Pakshi,24.08056717,89.04860238
1045,3296,Muladuli,24.14180695,89.12407839
1046,1371,Dashuria,24.10339542,89.1585666
1047,4466,Silimpur,24.08482557,89.1058685
1048,4183,Sahapur,24.03518036,89.12341538
1050,725,Bhangura,24.22312331,89.41283391
1051,2698,Khanmarich,24.29752184,89.40108852
1052,189,Ashtamanisha,24.24954706,89.3652198
1053,1571,Dilpasar,24.24376381,89.43385144
1055,3071,Maligachha,24.0534431,89.21367831
1056,3067,Malanchi,24.05176024,89.25787139
1057,1814,Gayeshpur,24.0319878,89.30541204
1059,1127,Chartarapur,23.94523016,89.37409709
1060,4161,Sadullahpur,23.99329731,89.37714485
1061,735,Bharara,23.935041,89.31502808
1063,2104,Hemayetpur,24.00640626,89.18501807
1064,1349,Dapunia,24.05286261,89.16532881
1065,2097,Haturia Nakalia,24.04275367,89.67174184
1068,934,Chakla,24.01394174,89.62566889
1071,4135,Ruppur,23.89471236,89.67361344
1073,1452,Dhalar Char,23.83614945,89.67700669
1074,3055,Majhpara,24.15581664,89.18858675
1075,971,Chandba,24.13247726,89.24841604
1076,1406,Debottar,24.09748904,89.2652809
1077,1647,Ekdanta,24.08292296,89.33160743
1079,2032,Handial,24.32412891,89.34844888
1081,3498,Nimaichara,24.27902139,89.34912048
1082,1975,Gunaigachha,24.2151595,89.3304265
1083,3683,Parshadanga,24.17488721,89.33875911
1084,1668,Failjana,24.13298818,89.29915068
1085,3300,Mulgram,24.17125485,89.28597615
1086,2058,Haripur,24.25488323,89.25837938
1087,3279,Mothurapur,24.21285287,89.28070433
1088,818,Bilchalan,24.24422222,89.29215486
1089,1341,Danthia Bamangram,24.18665384,89.23177964
1090,3353,Nagdemra,24.10277442,89.55552612
1091,1532,Dhulauri,24.10854896,89.47674455
1092,798,Bhulbaria,24.06687655,89.4456133
1093,1523,Dhopadaha,24.08556472,89.51912816
1095,2606,Kashinathpur,23.97927774,89.58546342
1096,1806,Gaurigram,24.01570815,89.53406213
1097,3384,Nandanpur,24.04354863,89.49282098
1101,3865,Pungali,24.17902538,89.49988598
1102,1682,Faridpur,24.15422416,89.42002137
1103,1993,Hadal,24.12278895,89.40603968
1104,474,Banwarinagar,24.16185104,89.46729303
1105,1415,Demra,24.14620729,89.48062551
1106,834,Birkedar,24.86468501,89.20569206
1108,3585,Paikar,24.90696638,89.28020304
1111,2391,Kahaloo,24.81165302,89.25186487
1112,1633,Durgapur,24.81103495,89.20089745
1113,2244,Jamgaon,24.75601784,89.24408898
1114,3066,Malancha,24.78241141,89.27511386
1115,1674,Fapore,24.83643159,89.33546128
1116,4341,Shabgram,24.84820656,89.40542698
1117,3505,Nishindara,24.87479863,89.35918784
1118,1665,Erulia,24.8776924,89.3253883
1119,3963,Rajapur,24.88084499,89.39407896
1120,4359,Shakharia,24.90086753,89.38357039
1121,4330,Sekherkola,24.92151656,89.3765915
1122,1910,Gokul,24.93147247,89.33864378
1123,3537,Noongola,24.91310786,89.31970425
1124,2874,Lahiripara,24.95015538,89.38231695
1125,3380,Namuja,24.94949921,89.30171247
1127,3418,Narchi,24.91186153,89.54483948
1128,876,Bohail,24.78065285,89.64706789
1129,947,Chaluabari,25.00330405,89.62305816
1130,961,Chandanbaisha,24.80103068,89.62483853
1132,2079,Hatsherpur,24.94627302,89.5797674
